"id","channel","title","summary","url","published_date","source","severity","affected_states","raw_json","fetched_at","created_at"
"073ba647-076b-4bfb-8382-3e2a554063fe","fda_recalls","The FDA Safety Information and Adverse Event Reporting Program","MedWatch, the FDA's medical product safety reporting program for health professionals, patients and consumers. Report a Problem Safety Information Stay Informed.","https://www.fda.gov/safety/medwatch-fda-safety-information-and-adverse-event-reporting-program",,"fda.gov","low",,"{""title"":""The FDA Safety Information and Adverse Event Reporting Program"",""link"":""https://www.fda.gov/safety/medwatch-fda-safety-information-and-adverse-event-reporting-program"",""snippet"":""MedWatch, the FDA's medical product safety reporting program for health professionals, patients and consumers. Report a Problem Safety Information Stay Informed.""}","2026-06-11 23:09:00.260241","2026-06-11 23:09:00.260241"
"0a3b0344-ae81-4221-8f2a-283023dee394","travel_advisory","Travel Health Notices - CDC","CDC uses Travel Health Notices (THNs) to inform travelers about global health risks during outbreaks, special events or gatherings, and natural disasters.","https://wwwnc.cdc.gov/travel/notices",,"wwwnc.cdc.gov","low",,"{""title"":""Travel Health Notices - CDC"",""link"":""https://wwwnc.cdc.gov/travel/notices"",""snippet"":""CDC uses Travel Health Notices (THNs) to inform travelers about global health risks during outbreaks, special events or gatherings, and natural disasters.""}","2026-06-11 23:08:57.805574","2026-06-11 23:08:57.805574"
"0fe6eca9-9a78-4505-baeb-5b0e0962193b","travel_advisory","Travel.State.Gov CSI","Level 3 - Reconsider travel Level 3 - Contains areas with higher security risk Level 4 - Do not travel Embassies serve as the U.S. government headquarters ...","https://travelmaps.state.gov/",,"travelmaps.state.gov","high",,"{""title"":""Travel.State.Gov CSI"",""link"":""https://travelmaps.state.gov/"",""snippet"":""Level 3 - Reconsider travel Level 3 - Contains areas with higher security risk Level 4 - Do not travel Embassies serve as the U.S. government headquarters ...""}","2026-06-11 23:08:58.572376","2026-06-11 23:08:58.572376"
"11b307b7-5270-470f-a423-80b162a106ac","fda_recalls","FDA Expands Early Alert Program to All Medical Devices","Based on the perceived success of the pilot program, the FDA announced on September 29, 2025, that it would expand the Early Alert program to ...","https://www.swlaw.com/publication/fda-expands-early-alert-program-to-all-medical-devices/",,"swlaw.com","medium",,"{""title"":""FDA Expands Early Alert Program to All Medical Devices"",""link"":""https://www.swlaw.com/publication/fda-expands-early-alert-program-to-all-medical-devices/"",""snippet"":""Based on the perceived success of the pilot program, the FDA announced on September 29, 2025, that it would expand the Early Alert program to ..."",""date"":""Oct 7, 2025""}","2026-06-11 23:09:01.775553","2026-06-11 23:09:01.775553"
"1262be2c-c0ad-4996-89b5-3af3408707b2","travel_advisory","CDC issues level 2 travel notice for yellow fever in South America","The travel alert urges travelers to the region to get a yellow fever vaccine at least 10 days prior to leaving the United States.","https://www.cidrap.umn.edu/yellow-fever/cdc-issues-level-2-travel-notice-yellow-fever-south-america",,"cidrap.umn.edu","medium",,"{""title"":""CDC issues level 2 travel notice for yellow fever in South America"",""link"":""https://www.cidrap.umn.edu/yellow-fever/cdc-issues-level-2-travel-notice-yellow-fever-south-america"",""snippet"":""The travel alert urges travelers to the region to get a yellow fever vaccine at least 10 days prior to leaving the United States."",""date"":""Apr 16, 2025""}","2026-06-11 23:08:58.366716","2026-06-11 23:08:58.366716"
"1e72dd6b-466d-43ec-88cd-e8e5da752721","public_health","Health Alerts, Advisories, and Updates | Public Health Department","On July 9, 2025, CDPH issued a CAHAN reporting an inc​​reasin​g number ... CDC is sharing best practices for clinical laboratories and healthcare workers.","https://health.alamedacountyca.gov/health-alerts-advisories-and-updates/",,"health.alamedacountyca.gov","medium",,"{""title"":""Health Alerts, Advisories, and Updates | Public Health Department"",""link"":""https://health.alamedacountyca.gov/health-alerts-advisories-and-updates/"",""snippet"":""On July 9, 2025, CDPH issued a CAHAN reporting an inc​​reasin​g number ... CDC is sharing best practices for clinical laboratories and healthcare workers.""}","2026-05-31 23:06:26.853327","2026-05-31 23:06:26.853327"
"243c0ce5-f202-4eba-8ba6-f0dfab87234f","public_health","CDC issues health alert for 2026 hantavirus outbreak - Facebook","CDC HAN: 2026 Hantavirus Outbreak: Testing for Potential Infection The Centers for Disease Control and Prevention (CDC) has issued a Health ...","https://www.facebook.com/OfficialCSHP/posts/cdc-han-2026-hantavirus-outbreak-testing-for-potential-infectionthe-centers-for-/1433380138826273/",,"facebook.com","medium",,"{""title"":""CDC issues health alert for 2026 hantavirus outbreak - Facebook"",""link"":""https://www.facebook.com/OfficialCSHP/posts/cdc-han-2026-hantavirus-outbreak-testing-for-potential-infectionthe-centers-for-/1433380138826273/"",""snippet"":""CDC HAN: 2026 Hantavirus Outbreak: Testing for Potential Infection The Centers for Disease Control and Prevention (CDC) has issued a Health ..."",""date"":""5 days ago""}","2026-05-31 23:06:25.734323","2026-05-31 23:06:25.734323"
"25084ee8-c6d5-4d8e-afd3-eb4be20008c6","disaster","Notices of Emergency and Major Disaster Declarations and Related ...","This is a notice of the Presidential declarations of emergencies and major disasters, and related determinations, declared under the ...","https://www.federalregister.gov/documents/2025/08/19/2025-15717/notices-of-emergency-and-major-disaster-declarations-and-related-amendments",,"federalregister.gov","high",,"{""title"":""Notices of Emergency and Major Disaster Declarations and Related ..."",""link"":""https://www.federalregister.gov/documents/2025/08/19/2025-15717/notices-of-emergency-and-major-disaster-declarations-and-related-amendments"",""snippet"":""This is a notice of the Presidential declarations of emergencies and major disasters, and related determinations, declared under the ..."",""date"":""Aug 19, 2025""}","2026-06-11 23:09:03.115351","2026-06-11 23:09:03.115351"
"2caf1a7f-e3cc-4d43-81f7-f75b84f76388","disaster","FEMA Disaster Declarations - PolicyMap","Federal disaster declarations are only displayed on PolicyMap since 2012, and do not include disasters declared before January 1, 2012 or after August 22nd, ...","https://www.policymap.com/data/sources/fema-disaster-declarations",,"policymap.com","low",,"{""title"":""FEMA Disaster Declarations - PolicyMap"",""link"":""https://www.policymap.com/data/sources/fema-disaster-declarations"",""snippet"":""Federal disaster declarations are only displayed on PolicyMap since 2012, and do not include disasters declared before January 1, 2012 or after August 22nd, ...""}","2026-06-11 23:09:02.275682","2026-06-11 23:09:02.275682"
"2e1844fd-6052-457c-baab-d1f255ac22ac","public_health","CAHAN Disease Notification - California focused Ebola CAHAN alert","This CAHAN message supplements the CDC HAN by providing additional California-specific context and guidance for local health departments and ...","https://ochealthinfo.com/cd-news-alert/cahan-disease-notification-california-focused-ebola-cahan-alert",,"ochealthinfo.com","medium",,"{""title"":""CAHAN Disease Notification - California focused Ebola CAHAN alert"",""link"":""https://ochealthinfo.com/cd-news-alert/cahan-disease-notification-california-focused-ebola-cahan-alert"",""snippet"":""This CAHAN message supplements the CDC HAN by providing additional California-specific context and guidance for local health departments and ..."",""date"":""May 22, 2026""}","2026-05-31 23:06:26.713998","2026-05-31 23:06:26.713998"
